Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 128621,,2445445.3,3.50E-13,9.07E-14,8.52E-13,2.16E-13,5.94E-14,8.06E-13,1.27E-12,1.06E-13,6.84E-13,8.06E-13,9.87E-14,1.05E-12
HD 128620,,2445445.4,-7.95E-13,2.15E-13,3.69E-12,-1.01E-12,2.79E-13,6.10E-12,2.98E-12,4.06E-13,4.68E-12,1.64E-12,5.51E-13,9.01E-12
HD 128620,,2445445.4,-9.96E-14,3.79E-13,4.07E-12,2.11E-12,5.14E-13,6.88E-12,2.66E-12,4.77E-13,5.88E-12,3.16E-12,7.06E-13,1.02E-11
HD 128620,,2445452.4,-1.10E-12,4.88E-13,4.97E-12,-1.34E-12,3.23E-13,5.89E-12,5.29E-12,5.61E-13,4.29E-12,3.36E-12,6.98E-13,9.24E-12
HD 128621,,2445452.5,4.04E-13,1.79E-13,5.82E-13,-1.18E-12,1.91E-14,6.46E-13,2.41E-12,1.63E-13,6.31E-14,1.21E-13,8.69E-14,9.20E-13
HD 128620,,2445452.5,-8.58E-13,2.24E-13,3.66E-12,-8.09E-13,2.68E-13,5.64E-12,2.64E-12,3.96E-13,4.80E-12,1.24E-12,5.14E-13,8.60E-12
HD 128621,,2445452.5,4.51E-13,7.26E-14,5.08E-13,2.22E-13,4.87E-14,6.58E-13,1.27E-12,9.90E-14,5.89E-13,8.24E-13,8.86E-14,8.66E-13
HD 128620,,2445457.3,-9.37E-15,3.54E-13,3.99E-12,8.30E-13,4.25E-13,6.59E-12,3.85E-12,4.55E-13,4.41E-12,4.47E-12,6.96E-13,8.74E-12
HD 128621,,2445457.3,8.38E-13,1.70E-13,-5.03E-14,6.94E-13,8.80E-14,3.16E-13,7.32E-13,8.83E-14,4.56E-13,2.97E-13,5.72E-14,3.89E-13
HD 128620,,2445457.4,-6.79E-13,2.38E-13,3.98E-12,-5.17E-13,3.07E-13,6.16E-12,2.40E-12,4.15E-13,5.43E-12,2.56E-12,5.85E-13,8.78E-12
HD 128620,,2445457.4,3.12E-13,3.66E-13,3.84E-12,2.38E-13,4.09E-13,6.85E-12,4.47E-12,4.86E-13,4.35E-12,4.10E-12,6.60E-13,8.40E-12
HD 128621,,2445457.4,7.61E-13,2.54E-13,9.21E-13,1.17E-12,1.92E-13,1.54E-12,1.44E-12,1.42E-13,5.89E-13,1.50E-12,2.00E-13,1.84E-12
HD 128621,,2445457.4,2.38E-13,6.92E-14,6.44E-13,6.39E-14,4.67E-14,7.52E-13,1.23E-12,1.01E-13,6.55E-13,6.33E-13,8.69E-14,1.01E-12
HD 128620,,2445457.5,-1.18E-13,3.39E-13,3.97E-12,-8.91E-13,3.22E-13,6.37E-12,2.94E-12,4.21E-13,4.71E-12,3.13E-12,6.09E-13,8.43E-12
HD 128621,,2445461.2,3.81E-13,1.01E-13,9.04E-13,-1.85E-13,5.24E-14,1.03E-12,1.65E-12,1.25E-13,6.49E-13,7.35E-13,9.05E-14,9.25E-13
