Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
AR LAC  ,  ,         2444013.9,  3.90E-013,  3.96E-014,  1.87E-013,  2.76E-013,  2.14E-014,  9.87E-014,  9.37E-013,  5.39E-014,  7.06E-014,  6.78E-013,  4.10E-014,  1.07E-013
AR LAC  ,  ,         2444013.9,  3.32E-013,  3.79E-014,  2.27E-013,  3.29E-013,  2.66E-014,  1.49E-013,  9.20E-013,  5.39E-014,  1.03E-013,  6.99E-013,  4.47E-014,  1.59E-013
AR LAC  ,  ,         2444014.0,  2.97E-013,  3.38E-014,  1.92E-013,  2.15E-013,  1.91E-014,  1.14E-013,  7.20E-013,  4.52E-014,  1.13E-013,  5.25E-013,  3.52E-014,  1.45E-013
AR LAC  ,  ,         2444014.1,  3.06E-013,  3.30E-014,  1.39E-013,  1.54E-013,  1.44E-014,  8.59E-014,  6.21E-013,  3.86E-014,  1.01E-013,  4.23E-013,  2.86E-014,  1.16E-013
AR LAC  ,  ,         2444014.2,  2.64E-013,  3.11E-014,  1.01E-013,  1.54E-013,  1.66E-014,  1.17E-013,  6.14E-013,  3.62E-014,  4.47E-014,  4.44E-013,  3.17E-014,  1.47E-013
AR LAC  ,  ,         2444014.2,  4.62E-013,  4.79E-014,  6.82E-014,  3.49E-013,  2.55E-014,  5.26E-014,  7.40E-013,  4.85E-014,  1.19E-013,  3.38E-013,  3.43E-014,  2.62E-013
AR LAC  ,  ,         2444014.3,  4.94E-013,  5.32E-014,  1.63E-013,  2.69E-013,  2.16E-014,  6.68E-014,  7.63E-013,  4.99E-014,  1.22E-013,  5.34E-013,  3.49E-014,  9.56E-014
AR LAC  ,  ,         2444014.4,  8.29E-013,  8.47E-014,  2.74E-013,  3.48E-013,  2.26E-014,  2.53E-014,  7.24E-013,  4.72E-014,  1.24E-013,  7.47E-013,  4.21E-014,  3.65E-014
AR LAC  ,  ,         2444014.4,  6.95E-013,  6.29E-014,  1.20E-013,  3.53E-013,  2.25E-014,  1.68E-014,  8.30E-013,  4.96E-014,  6.54E-014,  4.68E-013,  3.46E-014,  1.61E-013
HD210334,  ,         2444067.5,  1.89E-013,  2.64E-014,  1.56E-013,  2.29E-013,  1.76E-014,  8.66E-014,  7.41E-013,  4.45E-014,  8.29E-014,  4.65E-013,  3.08E-014,  1.23E-013
HD210334,  ,         2444070.4,  3.76E-013,  4.11E-014,  1.93E-013,  3.39E-013,  2.43E-014,  1.07E-013,  6.39E-013,  4.14E-014,  1.30E-013,  6.18E-013,  4.01E-014,  1.55E-013
HD210334,  ,         2444252.9,  2.93E-013,  3.23E-014,  1.35E-013,  1.77E-013,  1.74E-014,  1.34E-013,  5.84E-013,  3.64E-014,  9.69E-014,  4.72E-013,  3.00E-014,  1.02E-013
HD 210334,  ,         2444403.8,  1.31E-013,  1.71E-014,  7.45E-014,  1.71E-013,  1.34E-014,  6.14E-014,  3.99E-013,  2.47E-014,  5.56E-014,  3.52E-013,  1.91E-014,  6.47E-015
HD 210334,  ,         2444404.0,  6.29E-014,  3.19E-014,  1.37E-013,  3.34E-013,  2.43E-014,  4.80E-015,  5.56E-013,  3.87E-014,  1.07E-013,  5.27E-013,  3.83E-014,  1.49E-013
H 210334,  ,         2444524.1,  3.25E-013,  3.90E-014,  2.33E-013,  2.27E-013,  1.94E-014,  1.26E-013,  8.27E-013,  4.93E-014,  9.48E-014,  6.19E-013,  3.66E-014,  8.72E-014
H 210334,  ,         2444525.3,  2.70E-013,  2.72E-014,  1.18E-013,  1.97E-013,  1.73E-014,  1.12E-013,  8.08E-013,  4.66E-014,  6.44E-014,  4.77E-013,  3.12E-014,  1.22E-013
HD210334,  ,         2444880.1,  2.01E-013,  3.48E-014,  2.64E-013,  2.45E-013,  2.02E-014,  1.15E-013,  6.05E-013,  3.86E-014,  1.04E-013,  5.43E-013,  3.43E-014,  1.10E-013
HD 210334,  ,         2444881.5,  1.68E-013,  2.74E-014,  1.71E-013,  1.68E-013,  1.52E-014,  1.01E-013,  7.10E-013,  4.33E-014,  9.84E-014,  4.64E-013,  3.11E-014,  1.31E-013
HD210334,  ,         2444881.2,  1.56E-013,  3.31E-014,  2.11E-013,  1.84E-013,  1.60E-014,  9.32E-014,  6.92E-013,  4.20E-014,  8.85E-014,  5.21E-013,  3.24E-014,  9.65E-014
HD 210334,  ,         2444882.5,  1.10E-013,  2.17E-014,  1.26E-013,  1.14E-013,  1.43E-014,  1.29E-013,  5.77E-013,  3.68E-014,  9.70E-014,  4.46E-013,  2.86E-014,  9.41E-014
HD 210334,  ,         2445611.3,  1.59E-013,  2.81E-014,  1.58E-013,  1.95E-013,  1.76E-014,  1.17E-013,  8.68E-013,  5.02E-014,  7.43E-014,  4.78E-013,  3.09E-014,  1.11E-013
HD 210334,  ,         2445611.4,  1.20E-013,  2.43E-014,  1.50E-013,  1.53E-013,  1.44E-014,  9.54E-014,  6.32E-013,  3.80E-014,  7.19E-014,  4.26E-013,  2.79E-014,  1.03E-013
HD 210334,  ,         2445610.6,  1.01E-013,  2.23E-014,  1.25E-013,  1.29E-013,  1.10E-014,  5.26E-014,  4.66E-013,  2.86E-014,  5.66E-014,  2.99E-013,  2.06E-014,  8.70E-014
HD 210334,  ,         2445611.6,  4.53E-014,  2.09E-014,  1.56E-013,  1.44E-013,  1.10E-014,  3.50E-014,  4.13E-013,  2.55E-014,  4.63E-014,  2.72E-013,  1.88E-014,  7.46E-014
HD 210334,  ,         2445612.1,  1.47E-013,  2.88E-014,  1.75E-013,  6.88E-014,  2.09E-014,  2.92E-013,  6.98E-013,  4.35E-014,  9.91E-014,  4.63E-013,  2.90E-014,  7.99E-014
AR LAC  ,  ,         2445612.6,  5.91E-014,  2.05E-014,  1.26E-013,  1.28E-013,  1.25E-014,  8.75E-014,  5.34E-013,  3.25E-014,  6.66E-014,  4.01E-013,  2.57E-014,  8.65E-014
AR LAC  ,  ,         2445612.7,  1.17E-013,  2.55E-014,  1.17E-013,  1.28E-013,  1.50E-014,  1.22E-013,  6.83E-013,  3.93E-014,  3.67E-014,  4.69E-013,  3.11E-014,  1.21E-013
AR LAC  ,  ,         2445612.8,  1.92E-013,  2.72E-014,  1.15E-013,  1.20E-013,  1.35E-014,  1.06E-013,  7.02E-013,  4.14E-014,  7.30E-014,  3.61E-013,  2.54E-014,  1.15E-013
AR LAC  ,  ,         2445612.9,  3.14E-013,  4.95E-014,  2.48E-013,  1.37E-013,  1.84E-014,  1.61E-013,  8.70E-013,  4.91E-014,  3.21E-014,  4.10E-013,  3.24E-014,  1.89E-013
HD 210334,  ,         2445943.8,  8.33E-013,  1.02E-013,  5.39E-013,  1.05E-012,  8.83E-014,  5.17E-013,  2.34E-012,  1.36E-013,  1.95E-013,  2.89E-012,  1.85E-013,  6.24E-013
HD 210334,  ,         2445943.9,  1.64E-013,  9.61E-014,  3.17E-013,  2.75E-013,  2.32E-014,  -8.37E-015,  6.66E-013,  4.79E-014,  1.14E-013,  8.56E-013,  4.74E-014,  -7.44E-014
HD 210334,  ,         2445944.8,  1.12E-013,  2.98E-014,  1.35E-013,  5.53E-014,  1.15E-014,  8.15E-014,  6.41E-013,  3.78E-014,  1.70E-014,  1.05E-013,  1.85E-014,  2.01E-013
HD 210334,  ,         2445944.9,  1.61E-013,  4.10E-014,  6.07E-014,  1.13E-013,  1.50E-014,  4.92E-014,  6.28E-013,  4.66E-014,  1.70E-013,  4.84E-013,  2.91E-014,  -1.19E-014
HD 210334,  ,         2445945.8,  2.35E-014,  4.06E-014,  1.83E-013,  3.11E-013,  1.93E-014,  -2.51E-014,  5.30E-013,  3.65E-014,  9.83E-014,  3.98E-013,  2.35E-014,  -5.38E-015
HD 210334,  ,         2445945.9,  2.65E-013,  4.35E-014,  1.41E-013,  2.09E-013,  1.94E-014,  6.89E-014,  6.14E-013,  4.10E-014,  1.01E-013,  3.54E-013,  2.73E-014,  1.11E-013
HD 210334,  ,         2445946.8,  -9.92E-015,  5.49E-014,  1.60E-013,  9.58E-014,  8.92E-015,  7.59E-015,  3.72E-013,  2.54E-014,  5.35E-014,  2.18E-013,  1.72E-014,  7.32E-014
HD 210334,  ,         2445946.9,  1.22E-013,  3.55E-014,  1.60E-013,  2.48E-013,  1.69E-014,  9.89E-015,  4.37E-013,  2.99E-014,  7.44E-014,  2.21E-013,  1.99E-014,  1.08E-013
HD 210334,  ,         2446326.8,  4.04E-013,  5.01E-014,  5.99E-014,  1.66E-014,  1.26E-014,  9.13E-014,  4.98E-013,  4.57E-014,  2.15E-013,  2.97E-013,  2.23E-014,  2.06E-014
HD 210334,  ,         2446327.2,  2.52E-013,  2.87E-014,  1.25E-013,  1.53E-013,  1.43E-014,  8.09E-014,  7.63E-013,  4.46E-014,  7.58E-014,  4.81E-013,  2.89E-014,  6.04E-014
